"LSOA11CD","all_ages","age_0","age_1","age_2","age_3","age_4","age_5","age_6","age_7","age_8","age_9","age_10","age_11","age_12","age_13","age_14","age_15","age_16","age_17","age_18","age_19","age_20","age_21","age_22","age_23","age_24","age_25","age_26","age_27","age_28","age_29","age_30","age_31","age_32","age_33","age_34","age_35","age_36","age_37","age_38","age_39","age_40","age_41","age_42","age_43","age_44","age_45","age_46","age_47","age_48","age_49","age_50","age_51","age_52","age_53","age_54","age_55","age_56","age_57","age_58","age_59","age_60","age_61","age_62","age_63","age_64","age_65","age_66","age_67","age_68","age_69","age_70","age_71","age_72","age_73","age_74","age_75","age_76","age_77","age_78","age_79","age_80","age_81","age_82","age_83","age_84","age_85","age_86","age_87","age_88","age_89","age_90"
"E01024190",1446,11,19,9,12,13,18,16,20,16,17,14,16,23,14,21,19,24,15,14,10,20,12,17,10,13,21,11,15,11,13,23,12,12,16,19,15,9,14,13,16,15,10,23,13,22,27,26,17,21,28,19,21,30,20,32,20,24,17,30,28,12,22,28,20,31,12,23,21,20,13,20,17,22,14,16,11,14,8,6,6,9,5,4,11,2,5,3,2,3,1,9
"E01024191",1777,25,27,23,20,19,25,26,27,26,21,26,19,18,31,22,21,24,26,26,30,24,22,16,26,21,22,18,29,20,23,18,17,33,21,25,27,20,19,21,21,22,30,24,30,28,26,34,32,25,26,36,32,27,18,22,21,18,11,17,10,12,15,19,11,26,18,25,16,11,16,13,11,15,11,12,11,18,14,12,9,10,10,9,10,5,5,6,2,4,2,5
"E01024192",1733,20,23,22,24,22,27,34,28,24,23,21,26,24,22,30,39,26,25,29,25,15,16,20,16,19,21,26,22,22,34,26,20,21,27,20,18,18,17,20,20,16,17,25,14,21,25,27,19,29,15,21,30,19,19,24,15,16,14,7,22,13,10,14,18,21,19,22,21,23,31,18,18,16,18,11,19,17,5,13,9,11,5,14,14,7,2,1,4,1,2,9
"E01024193",1656,26,42,37,38,27,27,17,31,25,32,17,12,21,25,15,19,22,19,29,26,15,19,19,15,12,23,26,35,24,22,25,27,29,21,29,29,11,22,12,20,31,22,24,23,18,21,23,21,23,26,27,26,14,16,20,13,13,13,15,15,19,7,18,14,13,20,30,9,14,12,9,21,11,6,9,12,7,7,7,6,7,6,4,5,5,2,3,3,5,3,16
"E01024194",1483,17,24,23,20,13,15,18,18,22,13,15,19,22,16,29,19,19,24,25,18,22,27,25,22,25,21,27,13,29,26,21,30,35,18,15,19,19,17,14,24,24,15,23,28,27,25,27,22,26,22,21,19,21,21,23,25,15,15,16,13,13,10,10,10,14,21,16,12,5,7,6,11,8,5,11,7,6,4,6,3,3,4,3,3,3,2,2,2,2,1,7
"E01024195",1427,19,22,23,20,17,12,19,15,16,21,20,18,11,30,20,24,15,21,23,18,24,26,15,22,13,13,14,18,21,13,21,18,23,19,14,19,24,16,16,18,25,15,31,24,13,23,21,26,23,24,21,18,23,19,21,19,23,25,15,19,22,12,17,13,12,17,18,7,15,10,5,7,9,6,4,6,8,4,5,4,4,3,4,3,3,4,8,5,3,3,7
"E01024196",1516,28,29,26,23,26,25,20,23,28,27,20,11,18,21,11,10,25,24,25,22,24,24,15,34,21,27,22,12,21,25,19,11,18,20,19,17,10,15,14,12,23,23,21,17,22,22,23,16,23,16,31,28,16,12,15,15,25,17,5,12,18,7,16,20,20,22,14,14,13,13,13,11,6,8,10,11,8,7,15,5,5,10,5,9,7,7,4,1,2,2,9
"E01024197",1555,18,20,14,26,17,24,25,12,15,18,17,18,15,11,11,24,23,30,17,18,13,19,15,24,28,17,25,23,17,25,21,20,16,21,26,16,23,19,14,19,21,14,26,26,24,18,13,23,17,27,24,23,22,20,19,20,19,18,13,14,20,17,24,27,21,25,26,21,20,18,13,16,9,13,11,7,11,18,5,5,7,8,6,9,4,3,4,2,4,2,4
"E01024198",2398,14,5,11,15,14,14,15,19,12,18,12,27,14,27,30,15,28,21,21,12,21,14,13,14,16,11,10,9,10,7,13,7,12,15,8,11,13,16,16,18,22,33,29,25,39,38,42,39,55,33,44,35,36,47,39,44,32,38,39,40,46,40,43,58,51,75,63,56,46,51,53,39,30,36,31,34,37,39,30,23,27,21,20,18,15,9,11,8,2,5,34
"E01024200",1746,18,18,13,14,19,15,18,7,16,7,17,21,20,20,21,17,24,19,23,22,17,13,11,16,12,12,8,10,11,10,12,18,17,9,15,7,9,16,14,13,20,23,26,20,30,27,25,40,33,31,29,34,33,29,36,26,23,27,23,27,27,19,31,30,32,39,41,33,30,27,24,23,11,17,15,18,18,16,9,13,14,11,9,10,9,11,10,7,6,3,22
